"","Model","Mean Squared Error","Family"
"mse_xgboost","XGBoost",622660928.167031,"Decision Tree"
"mse_random_forest","Random Forest",765958842.405035,"Decision Tree"
"mse_linear_backward_bic_model","Linear Backward Selected BIC",867542532.743639,"Linear Regression"
"mse_linear_backward_cp_model","Linear Backward Selected Cp",902472200.329983,"Linear Regression"
"mse_linear_backward_adjr2_model","Linear Backward Selected Adj R^2",915621549.466813,"Linear Regression"
"mse_linear_forward_bic_model","Linear Forward Selected BIC",956447763.396133,"Linear Regression"
"mse_elastic_net","Elastic Net",979198971.670971,"Shrinkage"
"mse_linear_forward_cp_model","Linear Forward Selected Cp",1006790080.50513,"Linear Regression"
"mse_linear_forward_adjr2_model","Linear Forward Selected Adj R^2",1068484672.87554,"Linear Regression"
"mse_ridge_regression","Ridge Regression",1504535229.32039,"Shrinkage"
"mse_lasso","Lasso",1800027642.07523,"Shrinkage"
