Feature,Importance
OverallQual,0.499542895976528
GrLivArea,0.111648683843678
KitchenQualEx,0.0681710878055675
BsmtFinSF1,0.0658059558247236
LotArea,0.0577104770600356
FullBath,0.0424245350841869
YearBuilt,0.0320134699262152
GarageTypeAttchd,0.0132292376371897
KitchenQualGd,0.0122763184349578
BsmtQualGd,0.0118603214977569
LotConfigCorner,0.0112455458924812
BsmtFinType1GLQ,0.0109133225257649
LotFrontage,0.00747250667993396
WoodDeckSF,0.00631410973213348
BedroomAbvGr,0.00627000120870123
YrSold,0.00603500655628078
OverallCond,0.00536707194166758
Fireplaces,0.00444345366690589
OpenPorchSF,0.00372450951270955
HeatingGrav,0.00307376239688157
LotShapeIR2,0.00266219696014832
TotRmsAbvGrd,0.00207981454545918
CentralAirN,0.00205094598971482
BsmtCondNA,0.00174953024410924
HouseStyle2.5Story,0.00123244039936388
Exterior1stOtherSd,0.00110803534636232
SaleTypenotWD,0.00102933543301547
NeighborhoodEdwards,0.0007665857782018
GarageTypeDetchd,0.000618079666528531
HouseStyle1Story,0.000518504860713347
BsmtFinType1ALQ,0.000512802210084741
HeatingQCTA,0.000469491478560606
BsmtQualTA,0.000419961996537446
HouseStyle1.5Story,0.000418535882202572
LotConfigInside,0.000410312921504619
FoundationBrkTil,0.000398213094771657
ExteriorQualGd,0.000358332636161013
HeatingQCGd,0.000337807884262903
HalfBath,0.000329411427699329
HouseStyle2Story,0.000282190896381701
Exterior1stMetalSd,0.000248326888270864
BldgTypeDuplex,0.000241575054819067
HeatingGasA,0.000229791583162707
BsmtQualFa,0.000208487029034903
FoundationCBlock,0.000208002959567524
BsmtQualEx,0.000207798220508607
RoofStyleGable,0.000197513299388678
HeatingQCEx,0.000167120924965604
Exterior1stVinylSd,0.000134705795746838
LotConfigFR2,9.63814443195049e-05
PavedDriveN,8.5622797152034e-05
NeighborhoodCollegeCr,8.54401322286531e-05
BsmtFinType1NA,8.13941516019288e-05
LotShapeIR1,7.64764329714335e-05
BldgType2fmCon,7.28983065818625e-05
BsmtFinType1Unf,7.19729479799322e-05
ElectricalFuse,5.00511891498728e-05
HeatingQCFa,4.55792732048811e-05
KitchenQualTA,4.50457869684283e-05
BldgType1Fam,4.39275426215186e-05
KitchenQualFa,3.9269422535566e-05
LotShapeReg,2.41666390507027e-05
BsmtFinType1BLQ,1.84380992229437e-05
ExteriorCondGd,1.43443294800799e-05
LotConfigCulDSac,9.12320117912717e-06
FoundationPConc,1.13655352682536e-06
PavedDriveP,3.73097720578842e-07
GarageTypeNA,2.21393490275599e-07
NeighborhoodOldTown,1.25456795516677e-08
PavedDriveY,1.0178296486465e-10
BldgTypeTwnhs,4.05340837674731e-15
